"","Species","SE.m1.md","SE.m2.md","SE.m3.md","SE.m1.bl","SE.m2.bl","SE.m3.bl","m1.md","m2.md","m3.md","m1.bl","m2.bl","m3.bl","n"
"54","Cacajao_calvus",0.00929572962922881,0.00841036926787322,0.0121298226036698,0.00834367254098391,0.0111285666665988,0.0157393398647726,1.52035463158102,1.49025567196269,1.39971743603531,1.4642103824927,1.45002690409664,1.28707553148028,19
"55","Callicebus_moloch",0.00931675326005084,0.00843174087222964,0.0150059623394783,0.0118099801552413,0.0103888841438691,0.0155522618706161,1.22221537987683,1.26125991763188,1.17825735986656,1.19645285069019,1.15206866427028,0.97874399524232,19
"56","Callicebus_torquatus",0.00860711466129876,0.00769119079933146,0.0145738400579387,0.0102029426195144,0.00878740412755971,0.0147186315308136,1.26059705706444,1.2731241975577,1.20035396152513,1.22712592956175,1.16429702793423,0.890165823335184,20
"57","Chiropotes_satanas",0.00790216221172065,0.00850224869855522,0.0104884638584307,0.0110474762148022,0.0113381532676609,0.0103839577130843,1.33666931336888,1.29395173012434,1.18756257835299,1.28321484073166,1.21155018983527,1.03577182305424,34
"58","Pithecia_pithecia",0.00648567841333655,0.00751720536138724,0.0106881220365999,0.00997891576971569,0.0120002572985533,0.0115533205771227,1.29793874050253,1.32086287481754,1.32294847300895,1.22668841751187,1.21984061347064,1.12099756519814,25
"59","Cercocebus_agilis",0.00802771521191741,0.00926830607480855,0.0128724520649896,0.0118714871976636,0.0139948478910879,0.0125256478756484,1.98653995926143,2.10495590401437,2.15635526598281,1.84668977678137,1.98419381715591,1.86772950813739,24
"60","Cercocebus_galeritus",NA,NA,NA,NA,NA,NA,1.90954250488444,1.99741770620125,2.04769284336526,1.68082790852077,1.76985463384001,1.63315443905142,1
"61","Cercocebus_torquatus_atys",0.0079603766244553,0.00687404611171241,0.011987502364468,0.00933875112717619,0.00939693986280035,0.00896794495246461,2.05894338660804,2.15010951471395,2.28614190993823,1.87831106736533,2.01025241019248,1.93314317389727,39
"62","Lophocebus_albigena",0.00846992107729275,0.00975010314530305,0.0119210329382291,0.00960853908840702,0.0138532160851061,0.0123798720202828,1.92318480160956,2.02217323166482,2.0701873875694,1.74769203414888,1.85362537680063,1.68725418621919,21
"63","Lophocebus_aterrimus",0.00778441560615601,0.00774836463955384,0.0112180220459052,0.00863875372081002,0.00884610772954528,0.00860950810360611,1.89608529444674,1.99346070056026,2.08779580145088,1.70303615639509,1.87188302067977,1.6910769836648,48
"64","Macaca_brunnescens",0.12060893847871,0.0852226155103624,0.0634406677274507,0.0239403840755771,0.0166740911675212,0.0310737666902412,2.1526881951621,2.11675791476263,2.17020877744103,1.70293242956672,1.82438376067723,1.83200091762947,8
"65","Macaca_fascicularis",0.0518061317321484,0.0461866600655076,0.0569310804565735,0.03255327080079,0.00990131364808988,0.0212798072093979,1.97897023796641,2.09387950343076,2.2944441767069,1.73730136303922,1.80166078287614,1.77047966201866,2
"66","Macaca_fuscata",0.00869509014859851,0.00939441406505058,0.00856632319209257,0.00786696396905076,0.00816838664688238,0.0108091825548976,2.04597673580424,2.20185040469476,2.45167654046787,1.8069258006056,1.98223605956475,1.92956497924797,36
"67","Macaca_hecki",0.00956299187775931,0.0090619322417572,0.0102867041483759,0.0092044483771504,0.0119410023503889,0.0126492446391156,1.99529457394301,2.12400534439397,2.2884781153809,1.75630296168152,1.88135083891229,1.78013300774506,25
"68","Macaca_maura",0.0130025231702664,0.0122421493163028,0.0123860483932981,0.0134967100337795,0.0141076748921722,0.0189070881048878,1.99970374343184,2.13585116732641,2.38305563829239,1.78590064824504,1.95030587598497,1.87552896439829,8
"69","Macaca_mulatta",0.00950061565491053,0.00978974460540048,0.0121817686755725,0.0107965508243053,0.0114925374233985,0.0115895363291032,1.91234910370774,2.06696666843368,2.29585294482995,1.70126028055185,1.84278322443384,1.82176787839118,50
"70","Macaca_nemestrina",0.00900945495816156,0.00814351727351842,0.0126381118236996,0.0118039234609582,0.00963247168410647,0.0124007859369513,2.03938426113808,2.16853200776933,2.42687219030591,1.82010268333599,1.95865764555639,1.9653746087839,34
"71","Macaca_nemestrina_leonina",0.00964821894633785,0.00992683472980367,0.02934079082637,0.017968099625598,0.0213835285190628,0.0315833165980601,1.97432516451549,2.10793176438911,2.32369244357273,1.7498420621666,1.91364025684794,1.8844016004816,9
"72","Macaca_nigra",0.0087752414661839,0.00911162777119336,0.0128173843627526,0.0108252224940527,0.00980385594641145,0.0101727051691847,1.97766784846006,2.1111391214785,2.35073470579288,1.71723727310738,1.8872415082174,1.81594096792567,41
"73","Macaca_ochreata",0.0115245968202244,0.0254286874653801,0.0417303670774521,0.0108446029483511,0.0289005767512492,0.0419102242489062,1.95424586239501,2.05858734890118,2.29977066653266,1.7095598321426,1.83134641809019,1.77828727798497,4
"74","Macaca_silenus",0.0398835208153011,0.0415542878614132,0.0563704423595611,0.0316153069880934,0.0459920137586356,0.036527078641492,1.89750510356945,2.05699982752261,2.24642973853876,1.67375040043982,1.89186806539734,1.89828056805578,4
